UF;ANO;Mês;1º Decêndio;2º Decêndio;3º Decêndio;Item transferência;Transferência;
AC;2020;02;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
AC;2020;02;0;0;0;IOF Ouro;IOF-Ouro;
AC;2020;02;241246586.05;26579490.61;75189944.74;FPE;FPE;
AC;2020;02;0;0;0;FPE;FUNDEF;
AC;2020;02;0;0;0;ICMS;FUNDEF;
AC;2020;02;0;0;0;FPM;FUNDEF;
AC;2020;02;0;0;0;IPI-EXP;FUNDEF;
AC;2020;02;0;0;0;COUN;FUNDEF;
AC;2020;02;0;0;0;LC 87;FUNDEF;
AC;2020;02;28396.56;10552.3;11848.85;IPI-EXP;IPI-Exp;
AC;2020;02;5823518.06;632269.22;1844323.86;FPM;FUNDEB;
AC;2020;02;4255.02;1581.2;1775.46;IPI-EXP;FUNDEB;
AC;2020;02;0;0;0;COUN;FUNDEB;
AC;2020;02;0;0;0;LC 87;FUNDEB;
AC;2020;02;748.78;134.83;128.13;ITR;FUNDEB;
AC;2020;02;378737.96;331627.89;223100.91;IPVA;FUNDEB;
AC;2020;02;21744.07;17443.41;3086.47;ITCMD;FUNDEB;
AC;2020;02;2571582.33;6545106.02;3634358.7;ICMS;FUNDEB;
AC;2020;02;36149323.56;3982773.89;11266752.75;FPE;FUNDEB;
AC;2020;02;29326.97;1504158.9;0;FEP;Royalties;
AC;2020;02;0;1982.43;0;CFM;Royalties;
AL;2020;02;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
AL;2020;02;0;0;0;IOF Ouro;IOF-Ouro;
AL;2020;02;296582416.94;32939967.9;91609222.46;FPE;FPE;
AL;2020;02;0;0;0;FPE;FUNDEF;
AL;2020;02;0;0;0;ICMS;FUNDEF;
AL;2020;02;0;0;0;FPM;FUNDEF;
AL;2020;02;0;0;0;IPI-EXP;FUNDEF;
AL;2020;02;0;0;0;COUN;FUNDEF;
AL;2020;02;0;0;0;LC 87;FUNDEF;
AL;2020;02;332620.17;123603.14;138790.23;IPI-EXP;IPI-Exp;
AL;2020;02;10431308.37;1132544.83;3303623.41;FPM;FUNDEB;
AL;2020;02;21103.13;7842;8805.6;IPI-EXP;FUNDEB;
AL;2020;02;0;0;10342047.25;COUN;FUNDEB;
AL;2020;02;0;0;0;LC 87;FUNDEB;
AL;2020;02;944.97;575.87;623.86;ITR;FUNDEB;
AL;2020;02;1593024.8;756483.01;286476.11;IPVA;FUNDEB;
AL;2020;02;21318.65;17263.01;11881.99;ITCMD;FUNDEB;
AL;2020;02;3092002.32;12648793.19;3736541.63;ICMS;FUNDEB;
AL;2020;02;18816713.81;2089881.03;5812160.19;FPE;FUNDEB;
AL;2020;02;0;2033447.07;0;ANP;Royalties;
AL;2020;02;37736.58;1935481.56;0;FEP;Royalties;
AL;2020;02;0;53662.13;0;CFM;Royalties;
AL;2020;02;378999.44;0;0;CFH;Royalties;
AM;2020;02;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
AM;2020;02;0;0;0;IOF Ouro;IOF-Ouro;
AM;2020;02;217377773.38;25640188.54;62449094.64;FPE;FPE;
AM;2020;02;0;0;0;FPE;FUNDEF;
AM;2020;02;0;0;0;ICMS;FUNDEF;
AM;2020;02;0;0;0;FPM;FUNDEF;
AM;2020;02;0;0;0;IPI-EXP;FUNDEF;
AM;2020;02;0;0;0;COUN;FUNDEF;
AM;2020;02;0;0;0;LC 87;FUNDEF;
AM;2020;02;859256.61;319303.55;358536.32;IPI-EXP;IPI-Exp;
AM;2020;02;12702606.49;1379143.61;4022949.63;FPM;FUNDEB;
AM;2020;02;93207;34636.11;38891.89;IPI-EXP;FUNDEB;
AM;2020;02;0;0;43010403.08;COUN;FUNDEB;
AM;2020;02;0;0;0;LC 87;FUNDEB;
AM;2020;02;2519.3;314.56;645.39;ITR;FUNDEB;
AM;2020;02;954055.63;1383770.53;601668.65;IPVA;FUNDEB;
AM;2020;02;33447.38;35182.97;8350.73;ITCMD;FUNDEB;
AM;2020;02;2308967.4;17220133.12;60902572.48;ICMS;FUNDEB;
AM;2020;02;23579841.93;2781294.44;6774104.62;FPE;FUNDEB;
AM;2020;02;0;17171450.29;0;ANP;Royalties;
AM;2020;02;0;10994771.98;0;PEA;Royalties;
AM;2020;02;37207.85;1908363.86;0;FEP;Royalties;
AM;2020;02;0;206747.17;0;CFM;Royalties;
AM;2020;02;195817.82;0;0;CFH;Royalties;
AP;2020;02;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
AP;2020;02;4265.13;3373.67;2572.83;IOF Ouro;IOF-Ouro;
AP;2020;02;242805959.88;26931335.73;75111319.16;FPE;FPE;
AP;2020;02;0;0;0;FPE;FUNDEF;
AP;2020;02;0;0;0;ICMS;FUNDEF;
AP;2020;02;0;0;0;FPM;FUNDEF;
AP;2020;02;0;0;0;IPI-EXP;FUNDEF;
AP;2020;02;0;0;0;COUN;FUNDEF;
AP;2020;02;0;0;0;LC 87;FUNDEF;
AP;2020;02;247648.93;92027.44;103334.83;IPI-EXP;IPI-Exp;
AP;2020;02;4376392.48;475152.37;1386015.31;FPM;FUNDEB;
AP;2020;02;37854.68;14066.95;15795.37;IPI-EXP;FUNDEB;
AP;2020;02;0;0;0;COUN;FUNDEB;
AP;2020;02;0;0;0;LC 87;FUNDEB;
AP;2020;02;732.04;51.92;5630.84;ITR;FUNDEB;
AP;2020;02;0;0;0;IPVA;FUNDEB;
AP;2020;02;0;0;0;ITCMD;FUNDEB;
AP;2020;02;0;0;0;ICMS;FUNDEB;
AP;2020;02;37114397.22;4116621.73;11481231.08;FPE;FUNDEB;
AP;2020;02;30664.91;1572780.79;0;FEP;Royalties;
AP;2020;02;0;413633.7;0;CFM;Royalties;
AP;2020;02;152663.56;0;0;CFH;Royalties;
BA;2020;02;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
BA;2020;02;0;0;0;IOF Ouro;IOF-Ouro;
BA;2020;02;640489378.32;68750829.7;205316660.42;FPE;FPE;
BA;2020;02;0;0;0;FPE;FUNDEF;
BA;2020;02;0;0;0;ICMS;FUNDEF;
BA;2020;02;0;0;0;FPM;FUNDEF;
BA;2020;02;0;0;0;IPI-EXP;FUNDEF;
BA;2020;02;0;0;0;COUN;FUNDEF;
BA;2020;02;0;0;0;LC 87;FUNDEF;
BA;2020;02;8075853.43;3001022.79;3369758.02;IPI-EXP;IPI-Exp;
BA;2020;02;44897231.21;4874568.74;14219074.15;FPM;FUNDEB;
BA;2020;02;545494.81;202708.35;227615.03;IPI-EXP;FUNDEB;
BA;2020;02;0;0;51181716.51;COUN;FUNDEB;
BA;2020;02;0;0;0;LC 87;FUNDEB;
BA;2020;02;25843.93;12101.3;7298.42;ITR;FUNDEB;
BA;2020;02;2002868.11;3960705.2;920895.26;IPVA;FUNDEB;
BA;2020;02;168354.78;793500.14;95109.8;ITCMD;FUNDEB;
BA;2020;02;43602162.28;41136948.24;22449415.37;ICMS;FUNDEB;
BA;2020;02;43262750.17;4643870.84;13868400.75;FPE;FUNDEB;
BA;2020;02;0;15988316.72;0;ANP;Royalties;
BA;2020;02;0;1245598.62;0;PEA;Royalties;
BA;2020;02;66280.71;3399489.41;0;FEP;Royalties;
BA;2020;02;0;1171308.15;0;CFM;Royalties;
BA;2020;02;1395648.23;0;0;CFH;Royalties;
CE;2020;02;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
CE;2020;02;0;0;0;IOF Ouro;IOF-Ouro;
CE;2020;02;497147686.17;53112237.24;160157491.4;FPE;FPE;
CE;2020;02;0;0;0;FPE;FUNDEF;
CE;2020;02;0;0;0;ICMS;FUNDEF;
CE;2020;02;0;0;0;FPM;FUNDEF;
CE;2020;02;0;0;0;IPI-EXP;FUNDEF;
CE;2020;02;0;0;0;COUN;FUNDEF;
CE;2020;02;0;0;0;LC 87;FUNDEF;
CE;2020;02;1939326.79;720662.4;809210.08;IPI-EXP;IPI-Exp;
CE;2020;02;20570190.69;2233340.53;6514634.91;FPM;FUNDEB;
CE;2020;02;110868.6;41199.28;46261.47;IPI-EXP;FUNDEB;
CE;2020;02;0;0;31579835.17;COUN;FUNDEB;
CE;2020;02;0;0;0;LC 87;FUNDEB;
CE;2020;02;1240.04;326.4;530.55;ITR;FUNDEB;
CE;2020;02;1213102.66;9558010.62;0;IPVA;FUNDEB;
CE;2020;02;0;240715.44;0;ITCMD;FUNDEB;
CE;2020;02;11241560.72;15723430.55;22148380.23;ICMS;FUNDEB;
CE;2020;02;28421266.93;3036355.43;9155989.15;FPE;FUNDEB;
CE;2020;02;0;1001718.96;0;ANP;Royalties;
CE;2020;02;49838.82;2556196.83;0;FEP;Royalties;
CE;2020;02;0;159869.91;0;CFM;Royalties;
DF;2020;02;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
DF;2020;02;0;0;0;IOF Ouro;IOF-Ouro;
DF;2020;02;47411132.8;5120050.28;15101346.32;FPE;FPE;
DF;2020;02;0;0;0;FPE;FUNDEF;
DF;2020;02;0;0;0;ICMS;FUNDEF;
