date,Tipologia de Myers-Briggs: (Brasil),Jogos Digitais: (Brasil),Classificação de jogadores: (Brasil)
2015-05-03,23,41,7
2015-05-10,39,44,3
2015-05-17,32,45,0
2015-05-24,39,45,3
2015-05-31,39,42,7
2015-06-07,37,56,3
2015-06-14,50,37,0
2015-06-21,36,33,3
2015-06-28,29,37,8
2015-07-05,37,40,5
2015-07-12,39,33,5
2015-07-19,43,40,3
2015-07-26,55,42,5
2015-08-02,41,22,0
2015-08-09,37,37,3
2015-08-16,39,39,6
2015-08-23,41,32,5
2015-08-30,41,47,3
2015-09-06,34,34,5
2015-09-13,36,24,6
2015-09-20,35,28,3
2015-09-27,32,29,6
2015-10-04,44,45,0
2015-10-11,36,49,0
2015-10-18,35,49,9
2015-10-25,27,42,4
2015-11-01,40,43,5
2015-11-08,31,40,6
2015-11-15,30,36,6
2015-11-22,41,23,3
2015-11-29,34,41,3
2015-12-06,35,26,3
2015-12-13,30,24,0
2015-12-20,36,28,0
2015-12-27,17,35,0
2016-01-03,62,31,5
2016-01-10,28,34,3
2016-01-17,25,45,0
2016-01-24,33,30,0
2016-01-31,47,29,0
2016-02-07,50,23,5
2016-02-14,26,32,3
2016-02-21,38,32,3
2016-02-28,24,31,4
2016-03-06,47,30,3
2016-03-13,22,27,4
2016-03-20,50,22,3
2016-03-27,52,33,0
2016-04-03,33,23,3
2016-04-10,43,23,3
2016-04-17,25,28,3
2016-04-24,37,25,3
2016-05-01,35,29,3
2016-05-08,27,27,0
2016-05-15,35,33,0
2016-05-22,35,28,3
2016-05-29,49,22,0
2016-06-05,37,37,9
2016-06-12,26,24,3
2016-06-19,45,34,3
2016-06-26,42,23,6
2016-07-03,28,25,6
2016-07-10,49,25,6
2016-07-17,43,27,3
2016-07-24,50,33,3
2016-07-31,28,34,0
2016-08-07,28,24,3
2016-08-14,36,20,3
2016-08-21,35,27,0
2016-08-28,29,30,8
2016-09-04,35,21,6
2016-09-11,30,17,9
2016-09-18,49,48,3
2016-09-25,47,38,0
2016-10-02,46,21,4
2016-10-09,30,27,6
2016-10-16,47,27,6
2016-10-23,68,29,6
2016-10-30,37,27,10
2016-11-06,35,38,8
2016-11-13,52,44,3
2016-11-20,32,26,10
2016-11-27,48,26,12
2016-12-04,49,24,3
2016-12-11,40,40,6
2016-12-18,31,26,0
2016-12-25,38,24,4
2017-01-01,48,24,4
2017-01-08,34,32,3
2017-01-15,44,42,0
2017-01-22,56,60,0
2017-01-29,38,36,7
2017-02-05,35,42,4
2017-02-12,51,37,8
2017-02-19,52,38,3
2017-02-26,35,39,6
2017-03-05,26,38,0
2017-03-12,49,29,0
2017-03-19,55,22,3
2017-03-26,53,22,4
2017-04-02,46,33,3
2017-04-09,43,47,3
2017-04-16,66,31,3
2017-04-23,47,30,6
2017-04-30,57,34,9
2017-05-07,47,39,3
